index,name,description,eso_link,img,reverse
92,Seven of Cups,Debauch,http://www.esotericmeanings.com/seven-of-cups-thoth-tarot-card-tutorial/,46,FALSE
93,Seven of Cups Reversed,Debauch,http://www.esotericmeanings.com/seven-of-cups-thoth-tarot-card-tutorial/,46,TRUE
94,Eight of Cups,Indolence,http://www.esotericmeanings.com/eight-of-cups-thoth-tarot-card-tutorial/,47,FALSE
95,Eight of Cups Reversed,Indolence,http://www.esotericmeanings.com/eight-of-cups-thoth-tarot-card-tutorial/,47,TRUE
96,Nine of Cups,Happiness,https://www.esotericmeanings.com/nine-of-cups-thoth-tarot-card-tutorial/,48,FALSE
97,Nine of Cups Reversed,Happiness,https://www.esotericmeanings.com/nine-of-cups-thoth-tarot-card-tutorial/,48,TRUE
98,Ten of Cups,Satiety,http://www.esotericmeanings.com/ten-of-cups-thoth-tarot-card-tutorial/,49,FALSE
99,Ten of Cups Reversed,Satiety,http://www.esotericmeanings.com/ten-of-cups-thoth-tarot-card-tutorial/,49,TRUE
100,Knight of Swords,,http://www.esotericmeanings.com/knight-of-swords-thoth-tarot-card-tutorial/,50,FALSE
101,Knight of Swords Reversed,,http://www.esotericmeanings.com/knight-of-swords-thoth-tarot-card-tutorial/,50,TRUE
102,Queen of Swords,,http://www.esotericmeanings.com/queen-of-swords-thoth-tarot-card-tutorial/,51,FALSE
103,Queen of Swords Reversed,,http://www.esotericmeanings.com/queen-of-swords-thoth-tarot-card-tutorial/,51,TRUE
104,Prince of Swords,,http://www.esotericmeanings.com/prince-of-swords-thoth-tarot-card-tutorial/,52,FALSE
105,Prince of Swords Reversed,,http://www.esotericmeanings.com/prince-of-swords-thoth-tarot-card-tutorial/,52,TRUE
106,Princess of Swords,,http://www.esotericmeanings.com/princess-of-swords-thoth-tarot-card-tutorial/,53,FALSE
107,Princess of Swords Reversed,,http://www.esotericmeanings.com/princess-of-swords-thoth-tarot-card-tutorial/,53,TRUE
108,Ace of Swords,,http://www.esotericmeanings.com/ace-of-swords-thoth-tarot-card-tutorial/,54,FALSE
109,Ace of Swords Reversed,,http://www.esotericmeanings.com/ace-of-swords-thoth-tarot-card-tutorial/,54,TRUE
110,Two of Swords,Peace,http://www.esotericmeanings.com/two-of-swords-thoth-tarot-card-tutorial/,55,FALSE
111,Two of Swords Reversed,Peace,http://www.esotericmeanings.com/two-of-swords-thoth-tarot-card-tutorial/,55,TRUE
112,Three of Swords,Sorrow,http://www.esotericmeanings.com/three-of-swords-thoth-tarot-card-tutorial/,56,FALSE
113,Three of Swords Reversed,Sorrow,http://www.esotericmeanings.com/three-of-swords-thoth-tarot-card-tutorial/,56,TRUE
114,Four of Swords,Truce,http://www.esotericmeanings.com/four-of-swords-thoth-tarot-card-tutorial/,57,FALSE
115,Four of Swords Reversed,Truce,http://www.esotericmeanings.com/four-of-swords-thoth-tarot-card-tutorial/,57,TRUE
116,Five of Swords,Defeat,http://www.esotericmeanings.com/five-of-swords-thoth-tarot-card-tutorial/,58,FALSE
117,Five of Swords Reversed,Defeat,http://www.esotericmeanings.com/five-of-swords-thoth-tarot-card-tutorial/,58,TRUE
118,Six of Swords,Science,http://www.esotericmeanings.com/six-of-swords-thoth-tarot-card-tutorial/,59,FALSE
119,Six of Swords Reversed,Science,http://www.esotericmeanings.com/six-of-swords-thoth-tarot-card-tutorial/,59,TRUE
120,Seven of Swords,Futility,http://www.esotericmeanings.com/seven-of-swords-thoth-tarot-card-tutorial/,60,FALSE
121,Seven of Swords Reversed,Futility,http://www.esotericmeanings.com/seven-of-swords-thoth-tarot-card-tutorial/,60,TRUE
122,Eight of Swords,Interference,http://www.esotericmeanings.com/eight-of-swords-thoth-tarot-card-tutorial/,61,FALSE
123,Eight of Swords Reversed,Interference,http://www.esotericmeanings.com/eight-of-swords-thoth-tarot-card-tutorial/,61,TRUE
124,Nine of Swords,Cruelty,http://www.esotericmeanings.com/nine-of-swords-thoth-tarot-card-tutorial/,62,FALSE
125,Nine of Swords Reversed,Cruelty,http://www.esotericmeanings.com/nine-of-swords-thoth-tarot-card-tutorial/,62,TRUE
126,Ten of Swords,Ruin,http://www.esotericmeanings.com/ten-of-swords-thoth-tarot-card-tutorial/,63,FALSE
127,Ten of Swords Reversed,Ruin,http://www.esotericmeanings.com/ten-of-swords-thoth-tarot-card-tutorial/,63,TRUE
128,Knight of Disks,,http://www.esotericmeanings.com/knight-of-disks-thoth-tarot-card-tutorial/,64,FALSE
